version,area,direction,description
0.4.12,Builtins,ForwardsIncompatible,Builtin Function `create2` is introduced.
0.4.12,Builtins,ForwardsIncompatible,Builtin Function `keccak256` is introduced.
0.4.12,Builtins,ForwardsIncompatible,Builtin Function `staticcall` is introduced.
0.4.14,Keywords,BackwardsIncompatible,"A variation of the keyword `FixedKeyword` is now reserved, and can not be used as an identifier."
0.4.14,Keywords,BackwardsIncompatible,"A variation of the keyword `UfixedKeyword` is now reserved, and can not be used as an identifier."
0.4.14,Keywords,BackwardsIncompatible,"A variation of the keyword `YulFixedKeyword` is now reserved, and can not be used as an identifier."
0.4.14,Keywords,BackwardsIncompatible,"A variation of the keyword `YulUfixedKeyword` is now reserved, and can not be used as an identifier."
0.4.16,Nodes,ForwardsIncompatible,Keyword `PureKeyword` is introduced.
0.4.16,Nodes,ForwardsIncompatible,Keyword `ViewKeyword` is introduced.
0.4.16,Children,ForwardsIncompatible,Child `PureKeyword` of node `FunctionAttribute` is introduced.
0.4.16,Children,ForwardsIncompatible,Child `PureKeyword` of node `FunctionTypeAttribute` is introduced.
0.4.16,Children,ForwardsIncompatible,Child `PureKeyword` of node `UnnamedFunctionAttribute` is introduced.
0.4.16,Children,ForwardsIncompatible,Child `ViewKeyword` of node `FunctionAttribute` is introduced.
0.4.16,Children,ForwardsIncompatible,Child `ViewKeyword` of node `FunctionTypeAttribute` is introduced.
0.4.16,Children,ForwardsIncompatible,Child `ViewKeyword` of node `UnnamedFunctionAttribute` is introduced.
0.4.17,Builtins,ForwardsIncompatible,Builtin Field `bytes4 selector` of type `%ExternalFunction` is introduced.
0.4.21,Nodes,ForwardsIncompatible,Keyword `EmitKeyword` is introduced.
0.4.21,Nodes,ForwardsIncompatible,Nonterminal `EmitStatement` is introduced.
0.4.21,Children,ForwardsIncompatible,Child `EmitStatement` of node `Statement` is introduced.
0.4.22,Nodes,ForwardsIncompatible,Keyword `ConstructorKeyword` is introduced.
0.4.22,Nodes,ForwardsIncompatible,Nonterminal `ConstructorAttribute` is introduced.
0.4.22,Nodes,ForwardsIncompatible,Nonterminal `ConstructorAttributes` is introduced.
0.4.22,Nodes,ForwardsIncompatible,Nonterminal `ConstructorDefinition` is introduced.
0.4.22,Children,ForwardsIncompatible,Child `ConstructorDefinition` of node `ContractMember` is introduced.
0.4.22,Builtins,ForwardsIncompatible,Builtin Function `blockhash` is introduced.
0.4.22,Builtins,ForwardsIncompatible,Builtin Function `gasleft` is introduced.
0.4.22,Builtins,ForwardsIncompatible,Builtin Function `require` is introduced.
0.4.22,Builtins,ForwardsIncompatible,Builtin Function `revert` is introduced.
0.4.22,Builtins,ForwardsIncompatible,Builtin Type Function `encode(%Any[] valuesToEncode) returns bytes memory` of type `%AbiType` is introduced.
0.4.22,Builtins,ForwardsIncompatible,Builtin Type Function `encodePacked(%Any[] valuesToEncode) returns bytes memory` of type `%AbiType` is introduced.
0.4.22,Builtins,ForwardsIncompatible,"Builtin Type Function `encodeWithSelector(bytes4 selector, %Any[] functionArgumentsTuple) returns bytes memory` of type `%AbiType` is introduced."
0.4.22,Builtins,ForwardsIncompatible,"Builtin Type Function `encodeWithSignature(string memory signature, %Any[] valuesToEncode) returns bytes memory` of type `%AbiType` is introduced."
0.4.25,Nodes,ForwardsIncompatible,A variation of the token `DoubleQuotedStringLiteral` is introduced.
0.4.25,Nodes,ForwardsIncompatible,A variation of the token `SingleQuotedStringLiteral` is introduced.
0.4.25,Nodes,BackwardsIncompatible,A variation of the token `DoubleQuotedStringLiteral` is deprecated.
0.4.25,Nodes,BackwardsIncompatible,A variation of the token `SingleQuotedStringLiteral` is deprecated.
0.5.0,Nodes,ForwardsIncompatible,A variation of the token `DecimalLiteral` is introduced.
